web_1    | 2022-02-28T01:59:58.314932970Z [info] Sent 204 in 3ms
web_1    | 2022-02-28T01:59:58.838966597Z   },
web_1    | 2022-02-28T01:59:58.838986509Z   id: nil,
web_1    | 2022-02-28T01:59:58.838990081Z   message_id: "817014",
web_1    | 2022-02-28T01:59:58.838993621Z   reply_to_message: nil,
web_1    | 2022-02-28T01:59:58.838996995Z   text: "/lt"
web_1    | 2022-02-28T01:59:58.839000481Z }
web_1    | 2022-02-28T01:59:58.839003753Z %MyScrobblesBot.Telegram.Message{
web_1    | 2022-02-28T01:59:58.839007321Z   chat_id: "1166722752",
web_1    | 2022-02-28T01:59:58.839010769Z   chat_type: "private",
web_1    | 2022-02-28T01:59:58.839014399Z   from: %MyScrobblesBot.Telegram.Message.From{
web_1    | 2022-02-28T01:59:58.839017796Z     first_name: "maczapp",
web_1    | 2022-02-28T01:59:58.839021424Z     id: nil,
web_1    | 2022-02-28T01:59:58.839024780Z     language_code: "pt-br",
web_1    | 2022-02-28T01:59:58.839028409Z     telegram_id: "1166722752",
web_1    | 2022-02-28T01:59:58.839031862Z     username: "omaxcx"
web_1    | 2022-02-28T01:59:58.839041643Z   },
web_1    | 2022-02-28T01:59:58.839045128Z   id: nil,
web_1    | 2022-02-28T01:59:58.839048436Z   message_id: "137465",
web_1    | 2022-02-28T01:59:58.839052025Z   reply_to_message: nil,
web_1    | 2022-02-28T01:59:58.839055362Z   text: "/lt"
web_1    | 2022-02-28T01:59:58.839058689Z }
web_1    | 2022-02-28T01:59:58.839061975Z [info] Elixir.MyScrobblesBot.Telegram.Consumers.MessageHandler handling message
web_1    | 2022-02-28T01:59:58.839065579Z [info] Processing message "817014" with handler MyScrobblesBot.Telegram.Handlers.CommandHandler
web_1    | 2022-02-28T01:59:58.839069331Z [info] Processing message "137465" with handler MyScrobblesBot.Telegram.Handlers.CommandHandler
web_1    | 2022-02-28T02:00:00.317007542Z [debug] QUERY OK source="users" db=903.1ms decode=342.6ms queue=0.2ms idle=1584.8ms
web_1    | 2022-02-28T02:00:00.419608752Z SELECT u0."id", u0."is_premium?", u0."last_fm_username", u0."telegram_id", u0."inserted_at", u0."updated_at" FROM "users" AS u0 WHERE (u0."telegram_id" = $1) ["1166722752"]
web_1    | 2022-02-28T02:00:00.419644602Z [debug] QUERY OK source="users" db=903.7ms decode=372.2ms queue=0.1ms idle=1585.4ms
web_1    | 2022-02-28T02:00:00.419649938Z SELECT u0."id", u0."is_premium?", u0."last_fm_username", u0."telegram_id", u0."inserted_at", u0."updated_at" FROM "users" AS u0 WHERE (u0."telegram_id" = $1) ["1225497535"]
web_1    | 2022-02-28T02:00:00.739712548Z [debug] QUERY OK source="user_confs" db=557.2ms queue=11.8ms idle=406.0ms
web_1    | 2022-02-28T02:00:00.739756833Z SELECT u0."id", u0."ban_expiration", u0."banned?", u0."conf_language", u0."language", u0."continent", u0."country", u0."email", u0."private?", u0."share_username?", u0."show_as_premium?", u0."show_premium?", u0."registered?", u0."telegram_id", u0."heart", u0."user_id", u0."inserted_at", u0."updated_at", u0."user_id" FROM "user_confs" AS u0 WHERE (u0."user_id" = $1) [<<116, 119, 160, 24, 137, 5, 75, 226, 171, 7, 192, 119, 56, 77, 125, 9>>]
web_1    | 2022-02-28T02:00:01.101813479Z [debug] QUERY OK source="user_confs" db=961.3ms queue=11.8ms idle=406.3ms
web_1    | 2022-02-28T02:00:01.111631702Z SELECT u0."id", u0."ban_expiration", u0."banned?", u0."conf_language", u0."language", u0."continent", u0."country", u0."email", u0."private?", u0."share_username?", u0."show_as_premium?", u0."show_premium?", u0."registered?", u0."telegram_id", u0."heart", u0."user_id", u0."inserted_at", u0."updated_at", u0."user_id" FROM "user_confs" AS u0 WHERE (u0."user_id" = $1) [<<41, 36, 167, 184, 200, 252, 66, 224, 160, 63, 114, 227, 110, 234, 253, 227>>]
web_1    | 2022-02-28T02:00:02.780554235Z {:ok,
web_1    | 2022-02-28T02:00:02.899530268Z  %{
web_1    | 2022-02-28T02:00:02.899559915Z    chat_id: 1166722752,
web_1    | 2022-02-28T02:00:02.899564204Z    parse_mode: "HTML",
web_1    | 2022-02-28T02:00:02.899568206Z    text: "<b>maczapp</b> está escutando pela <b>411ª</b> vez:\n\n<a href=\"https://lastfm.freetls.fastly.net/i/u/300x300/30a137f84ed1cf5ae64cf74b74ed4437.jpg\">🎶</a> <b>Froot</b>\n💿 FROOT\n👥 Marina\n🖤"
web_1    | 2022-02-28T02:00:02.979931131Z  }}
web_1    | 2022-02-28T02:00:02.979970867Z {:ok,
web_1    | 2022-02-28T02:00:02.980188535Z  %{
web_1    | 2022-02-28T02:00:02.980196458Z    chat_id: -1001176710138,
web_1    | 2022-02-28T02:00:02.980200626Z    parse_mode: "HTML",
web_1    | 2022-02-28T02:00:02.980204943Z    text: "<b>zuly</b> is listening for the <b>29th</b> time to:\n\n<a href=\"https://lastfm.freetls.fastly.net/i/u/300x300/803f9874bdd2bcb58c7a8116303bac82.jpg\">🎶</a> <b>Panorama</b>\n💿 One-reeler / Act IV\n👥 IZ*ONE\n"
web_1    | 2022-02-28T02:00:02.980213159Z  }}
web_1    | 2022-02-28T02:00:04.316126143Z [info] POST https://api.telegram.org/bot1993314727:AAHkFDgqq-NWCOW04DlnD1sZ78iRGgoig9w/sendMessage -> 200 (716.018 ms)
web_1    | 2022-02-28T02:00:04.487567846Z [debug] 
web_1    | 2022-02-28T02:00:04.487605921Z >>> REQUEST >>>
web_1    | 2022-02-28T02:00:04.487611922Z (no query)
web_1    | 2022-02-28T02:00:04.487616027Z content-type: application/json
web_1    | 2022-02-28T02:00:04.487619970Z 
web_1    | 2022-02-28T02:00:04.487624048Z {"chat_id":1166722752,"parse_mode":"HTML","text":"<b>maczapp</b> está escutando pela <b>411ª</b> vez:\n\n<a href=\"https://lastfm.freetls.fastly.net/i/u/300x300/30a137f84ed1cf5ae64cf74b74ed4437.jpg\">🎶</a> <b>Froot</b>\n💿 FROOT\n👥 Marina\n🖤"}
web_1    | 2022-02-28T02:00:04.487644528Z 
web_1    | 2022-02-28T02:00:04.487648513Z <<< RESPONSE <<<
web_1    | 2022-02-28T02:00:04.487652789Z connection: keep-alive
web_1    | 2022-02-28T02:00:04.487656848Z date: Mon, 28 Feb 2022 02:00:03 GMT
web_1    | 2022-02-28T02:00:04.487660980Z server: nginx/1.18.0
web_1    | 2022-02-28T02:00:04.487664875Z content-length: 642
web_1    | 2022-02-28T02:00:04.487668868Z content-type: application/json
web_1    | 2022-02-28T02:00:04.487680681Z strict-transport-security: max-age=31536000; includeSubDomains; preload
web_1    | 2022-02-28T02:00:04.487684878Z access-control-allow-origin: *
web_1    | 2022-02-28T02:00:04.487688943Z access-control-allow-methods: GET, POST, OPTIONS
web_1    | 2022-02-28T02:00:04.487741883Z access-control-expose-headers: Content-Length,Content-Type,Date,Server,Connection
web_1    | 2022-02-28T02:00:04.487746090Z 
web_1    | 2022-02-28T02:00:04.487750547Z {"ok":true,"result":{"message_id":137745,"from":{"id":1993314727,"is_bot":true,"first_name":"My Scrobbles bot","username":"MyScrobblesbot"},"chat":{"id":1166722752,"first_name":"maczapp","username":"omaxcx","type":"private"},"date":1646013603,"text":"maczapp est\u00e1 escutando pela 411\u00aa vez:\n\n\ud83c\udfb6 Froot\n\ud83d\udcbf FROOT\n\ud83d\udc65 Marina\n\ud83d\udda4","entities":[{"offset":0,"length":7,"type":"bold"},{"offset":28,"length":4,"type":"bold"},{"offset":39,"length":2,"type":"text_link","url":"https://lastfm.freetls.fastly.net/i/u/300x300/30a137f84ed1cf5ae64cf74b74ed4437.jpg"},{"offset":42,"length":5,"type":"bold"}]}}
web_1    | 2022-02-28T02:00:05.465868275Z [info] POST https://api.telegram.org/bot1993314727:AAHkFDgqq-NWCOW04DlnD1sZ78iRGgoig9w/sendMessage -> 200 (1858.895 ms)
web_1    | 2022-02-28T02:00:05.642819391Z [debug] 
web_1    | 2022-02-28T02:00:05.698972836Z >>> REQUEST >>>
web_1    | 2022-02-28T02:00:05.698988719Z (no query)
web_1    | 2022-02-28T02:00:05.698992918Z content-type: application/json
web_1    | 2022-02-28T02:00:05.698996584Z 
web_1    | 2022-02-28T02:00:05.699000588Z {"chat_id":-1001176710138,"parse_mode":"HTML","text":"<b>zuly</b> is listening for the <b>29th</b> time to:\n\n<a href=\"https://lastfm.freetls.fastly.net/i/u/300x300/803f9874bdd2bcb58c7a8116303bac82.jpg\">🎶</a> <b>Panorama</b>\n💿 One-reeler / Act IV\n👥 IZ*ONE\n"}
web_1    | 2022-02-28T02:00:05.699009684Z 
web_1    | 2022-02-28T02:00:05.699013108Z <<< RESPONSE <<<
web_1    | 2022-02-28T02:00:05.699017405Z connection: keep-alive
web_1    | 2022-02-28T02:00:05.699020844Z date: Mon, 28 Feb 2022 02:00:04 GMT
web_1    | 2022-02-28T02:00:05.699024423Z server: nginx/1.18.0
web_1    | 2022-02-28T02:00:05.699027725Z content-length: 654
web_1    | 2022-02-28T02:00:05.699031070Z content-type: application/json
web_1    | 2022-02-28T02:00:05.699034807Z strict-transport-security: max-age=31536000; includeSubDomains; preload
web_1    | 2022-02-28T02:00:05.699038354Z access-control-allow-origin: *
web_1    | 2022-02-28T02:00:05.699041759Z access-control-allow-methods: GET, POST, OPTIONS
web_1    | 2022-02-28T02:00:05.699045291Z access-control-expose-headers: Content-Length,Content-Type,Date,Server,Connection
web_1    | 2022-02-28T02:00:05.699048797Z 
web_1    | 2022-02-28T02:00:05.699052647Z {"ok":true,"result":{"message_id":817060,"from":{"id":1993314727,"is_bot":true,"first_name":"My Scrobbles bot","username":"MyScrobblesbot"},"chat":{"id":-1001176710138,"title":"Orbits #QUEENDOM_2","username":"loonaverse","type":"supergroup"},"date":1646013603,"text":"zuly is listening for the 29th time to:\n\n\ud83c\udfb6 Panorama\n\ud83d\udcbf One-reeler / Act IV\n\ud83d\udc65 IZ*ONE","entities":[{"offset":0,"length":4,"type":"bold"},{"offset":26,"length":4,"type":"bold"},{"offset":41,"length":2,"type":"text_link","url":"https://lastfm.freetls.fastly.net/i/u/300x300/803f9874bdd2bcb58c7a8116303bac82.jpg"},{"offset":44,"length":8,"type":"bold"}]}}
web_1    | 2022-02-28T02:00:10.157388723Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.246965192Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.246999753Z [info] Sent 204 in 36ms
web_1    | 2022-02-28T02:00:10.247014030Z [info] Sent 204 in 44ms
web_1    | 2022-02-28T02:00:10.247018367Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.247022375Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.247026640Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.247030865Z [info] Sent 204 in 779µs
web_1    | 2022-02-28T02:00:10.260528038Z [info] Sent 204 in 494µs
web_1    | 2022-02-28T02:00:10.260536002Z [info] Sent 204 in 522µs
web_1    | 2022-02-28T02:00:10.260540238Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260544540Z [info] Sent 204 in 157µs
web_1    | 2022-02-28T02:00:10.260548882Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260553000Z [info] Sent 204 in 141µs
web_1    | 2022-02-28T02:00:10.260557080Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260560957Z [info] Sent 204 in 185µs
web_1    | 2022-02-28T02:00:10.260564944Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260568832Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260572652Z [info] Sent 204 in 255µs
web_1    | 2022-02-28T02:00:10.260576624Z [error] Failed handling telegram webhook with false, answering 204
web_1    | 2022-02-28T02:00:10.260580589Z [info] Sent 204 in 445µs
web_1    | 2022-02-28T02:00:10.260584376Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260588209Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260592034Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260596609Z [info] Sent 204 in 598µs
web_1    | 2022-02-28T02:00:10.260600411Z [info] Sent 204 in 383µs
web_1    | 2022-02-28T02:00:10.260604185Z [info] Sent 204 in 459µs
web_1    | 2022-02-28T02:00:10.260607931Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260611692Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260615476Z [info] Sent 204 in 136µs
web_1    | 2022-02-28T02:00:10.260619359Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260623158Z [info] Sent 204 in 1ms
web_1    | 2022-02-28T02:00:10.260626956Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260630764Z [info] Sent 204 in 1ms
web_1    | 2022-02-28T02:00:10.260634653Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260638423Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260642208Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260646010Z [info] Sent 204 in 939µs
web_1    | 2022-02-28T02:00:10.260649937Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260674655Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260678235Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260681688Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260685065Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260688499Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260691831Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260695164Z [info] Sent 204 in 1ms
web_1    | 2022-02-28T02:00:10.260698502Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260701956Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260705604Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260709104Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260712617Z [info] Sent 204 in 668µs
web_1    | 2022-02-28T02:00:10.260715963Z [info] Sent 204 in 610µs
web_1    | 2022-02-28T02:00:10.260719282Z [info] Sent 204 in 535µs
web_1    | 2022-02-28T02:00:10.260722732Z [info] Sent 204 in 490µs
web_1    | 2022-02-28T02:00:10.260726234Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260729556Z [info] Sent 204 in 313µs
web_1    | 2022-02-28T02:00:10.260733001Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260736339Z [info] Sent 204 in 242µs
web_1    | 2022-02-28T02:00:10.260739767Z [info] Sent 204 in 10ms
web_1    | 2022-02-28T02:00:10.260743113Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260746457Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260749787Z [info] Sent 204 in 401µs
web_1    | 2022-02-28T02:00:10.260759291Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260762693Z [info] Sent 204 in 564µs
web_1    | 2022-02-28T02:00:10.260766017Z [info] Sent 204 in 410µs
web_1    | 2022-02-28T02:00:10.260769325Z [info] Sent 204 in 11ms
web_1    | 2022-02-28T02:00:10.260773096Z [info] Publishing in MyScrobblesBot.Events.TelegramMessage
web_1    | 2022-02-28T02:00:10.260776550Z [info] Message enqueued for later processing
web_1    | 2022-02-28T02:00:10.260779953Z [info] Sent 204 in 11ms
web_1    | 2022-02-28T02:00:10.260783266Z [info] Sent 204 in 11ms
web_1    | 2022-02-28T02:00:10.260786741Z [info] Sent 204 in 11ms
web_1    | 2022-02-28T02:00:10.260790258Z [info] Sent 204 in 11ms
web_1    | 2022-02-28T02:00:10.260797118Z [info] Sent 204 in 11ms
web_1    | 2022-02-28T02:00:10.260800593Z [info] Sent 204 in 11ms
web_1    | 2022-02-28T02:00:10.260804078Z [info] Publishing in MyScrobblesBot.Events.TelegramMessage
web_1    | 2022-02-28T02:00:10.260807529Z [info] Message enqueued for later processing
web_1    | 2022-02-28T02:00:10.260810916Z [info] Sent 204 in 11ms
web_1    | 2022-02-28T02:00:10.260814232Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260817796Z [error] Failed handling telegram webhook with false, answering 204
web_1    | 2022-02-28T02:00:10.260825982Z [info] Sent 204 in 283µs
web_1    | 2022-02-28T02:00:10.260829405Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260832743Z [info] Sent 204 in 129µs
web_1    | 2022-02-28T02:00:10.260836078Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260839396Z [info] Sent 204 in 125µs
web_1    | 2022-02-28T02:00:10.260842745Z [info] POST /myscrobblesbot/webhooks
web_1    | 2022-02-28T02:00:10.260846069Z [info] Sent 204 in 158µs
web_1    | 2022-02-28T02:00:10.260849416Z [info] Elixir.MyScrobblesBot.Telegram.Consumers.MessageHandler handling message
web_1    | 2022-02-28T02:00:10.260852923Z [info] Elixir.MyScrobblesBot.Telegram.Consumers.MessageHandler handling message
web_1    | 2022-02-28T02:00:10.260856393Z [info] Processing message "153971" with handler MyScrobblesBot.Telegram.Handlers.CommandHandler
web_1    | 2022-02-28T02:00:10.260860108Z [info] Processing message "137468" with handler MyScrobblesBot.Telegram.Handlers.CommandHandler
web_1    | 2022-02-28T02:00:10.877675404Z %MyScrobblesBot.Telegram.Message{
web_1    | 2022-02-28T02:00:10.913067144Z   chat_id: "-1001250634469",
web_1    | 2022-02-28T02:00:10.913077799Z   chat_type: "supergroup",
web_1    | 2022-02-28T02:00:10.913081860Z   from: %MyScrobblesBot.Telegram.Message.From{
web_1    | 2022-02-28T02:00:10.913085809Z     first_name: "breno",
web_1    | 2022-02-28T02:00:10.913089887Z     id: nil,
web_1    | 2022-02-28T02:00:10.913093319Z     language_code: "pt-br",
web_1    | 2022-02-28T02:00:10.913096876Z     telegram_id: "1834680042",
web_1    | 2022-02-28T02:00:10.913100439Z     username: "estrelasaoredordaminhacicatriz"
web_1    | 2022-02-28T02:00:10.913104022Z   },
web_1    | 2022-02-28T02:00:10.913107439Z   id: nil,
web_1    | 2022-02-28T02:00:10.913110716Z   message_id: "153971",
web_1    | 2022-02-28T02:00:10.913114063Z   reply_to_message: nil,
web_1    | 2022-02-28T02:00:10.913132493Z   text: "/lt"
web_1    | 2022-02-28T02:00:10.913136320Z }
web_1    | 2022-02-28T02:00:10.913139669Z %MyScrobblesBot.Telegram.Message{
web_1    | 2022-02-28T02:00:10.913143236Z   chat_id: "1166722752",
web_1    | 2022-02-28T02:00:10.913146687Z   chat_type: "private",
web_1    | 2022-02-28T02:00:10.913150245Z   from: %MyScrobblesBot.Telegram.Message.From{
web_1    | 2022-02-28T02:00:10.913153731Z     first_name: "maczapp",
web_1    | 2022-02-28T02:00:10.913157312Z     id: nil,
web_1    | 2022-02-28T02:00:10.913160887Z     language_code: "pt-br",
web_1    | 2022-02-28T02:00:10.913164533Z     telegram_id: "1166722752",
web_1    | 2022-02-28T02:00:10.913168140Z     username: "omaxcx"
web_1    | 2022-02-28T02:00:10.913171783Z   },
web_1    | 2022-02-28T02:00:10.913175728Z   id: nil,
web_1    | 2022-02-28T02:00:10.913179144Z   message_id: "137468",
web_1    | 2022-02-28T02:00:10.913182859Z   reply_to_message: nil,
web_1    | 2022-02-28T02:00:10.913209727Z   text: "/artist"
web_1    | 2022-02-28T02:00:10.913213706Z }
web_1    | 2022-02-28T02:00:11.833836048Z [debug] QUERY OK source="users" db=991.1ms decode=14.9ms queue=0.1ms idle=983.7ms
web_1    | 2022-02-28T02:00:11.861731253Z SELECT u0."id", u0."is_premium?", u0."last_fm_username", u0."telegram_id", u0."inserted_at", u0."updated_at" FROM "users" AS u0 WHERE (u0."telegram_id" = $1) ["1166722752"]
web_1    | 2022-02-28T02:00:11.861752937Z [debug] QUERY OK source="users" db=992.4ms decode=14.2ms queue=0.1ms idle=992.3ms
web_1    | 2022-02-28T02:00:11.861757755Z SELECT u0."id", u0."is_premium?", u0."last_fm_username", u0."telegram_id", u0."inserted_at", u0."updated_at" FROM "users" AS u0 WHERE (u0."telegram_id" = $1) ["1834680042"]
web_1    | 2022-02-28T02:00:11.943419775Z [debug] QUERY OK source="user_confs" db=155.4ms idle=433.1ms
web_1    | 2022-02-28T02:00:11.943471365Z SELECT u0."id", u0."ban_expiration", u0."banned?", u0."conf_language", u0."language", u0."continent", u0."country", u0."email", u0."private?", u0."share_username?", u0."show_as_premium?", u0."show_premium?", u0."registered?", u0."telegram_id", u0."heart", u0."user_id", u0."inserted_at", u0."updated_at", u0."user_id" FROM "user_confs" AS u0 WHERE (u0."user_id" = $1) [<<116, 38, 41, 62, 227, 228, 78, 20, 139, 221, 187, 158, 166, 130, 89, 212>>]
web_1    | 2022-02-28T02:00:11.952308175Z [debug] QUERY OK source="user_confs" db=156.1ms idle=433.1ms
